country,name,generation,emission,fuel,sigma,generation_el,generation_heat,emissions_heat,emissions_el,emission_factor
AT,Manual Match,DO3,Wien Energie - KW Donaustadt,gas,0.0,2119965.75,958672.8650637018,141103.55388675682,713211.4461132432,336.42592863268817
AT,Manual Match,GDK-Mellach Linie 10|GDK-Mellach Linie 20,Verbund GDK-Mellach,gas,0.0,688994.2200000004,0.0,0.0,263738.0,382.786955745434
AT,Manual Match,Kraftwerk Timelkam GUD,Energie AG GuD Kraftwerk Timelkam,gas,0.0,477460.56999999983,68761.6947555035,11238.247387111669,178365.75261288832,373.5716911930306
AT,Manual Match,Sim1|Sim1_DT|Sim1_GT41|Sim1_GT42,Wien Energie - KW Simmering 1+2,gas,0.0,2541059.5,1513555.4569237467,227137.56466287296,871620.4353371271,343.01457141681533
AT,mellach,FHKW Mellach,Verbund FHKW Mellach,coal,0.0,345964.27000000083,712275.376990696,175856.40467487846,195237.59532512154,564.3287826373547
AT,theiss,KW Theiß M3|KW Theiß M5,EVN Kraftwerk Theiß,gas,0.0,315970.20999999915,119369.2152226313,23190.272313431586,140307.72768656843,444.05365837041666
BE,Manual Match,EDF Luminus Seraing GT1|EDF Luminus Seraing GT2|SERAING TV,EDFL - Seraing,gas,0.0,1716532.0199999996,0.0,0.0,701649.0,408.759633857573
BE,Manual Match,RINGVAART STEG,EDFL - Centrale Buitenring Wondelgem Gent,gas,0.0,1407101.2499999986,0.0,0.0,534736.0,380.02666830123314
BE,Manual Match,SAINT-GHISLAIN STEG,Electrabel Baudour,gas,0.0,1475102.2899999982,0.0,0.0,576288.0,390.6766357199545
BE,Manual Match,T-power Beringen,T-Power,gas,0.0,2408701.8899999685,0.0,0.0,868565.0,360.5946437813487
BE,Manual Match,VILVOORDE GT,Electrabel - Vilvoorde,gas,0.0,90665.32999999999,0.0,0.0,50000.0,551.4787184914014
BE,Manual Match,Zelzate 2 Knippegroen,Electrabel - Knippegroen,gas,0.0,1974657.4300000023,0.0,0.0,3879477.0,1964.6329236965398
BE,amercoeur,Amercoeur 1 R GT|Amercoeur 1 R ST,Electrabel Amercoeur-Roux,gas,0.0,2388831.8100000024,0.0,0.0,880722.0,368.6831347075871
BE,drogenbos,DROGENBOS GT1|DROGENBOS GT2|DROGENBOS ST,Electrabel - Centrale Drogenbos,gas,0.0,1214526.8900000062,0.0,0.0,504843.0,415.6705003048532
BE,herdersbrug,HERDERSBRUG GT1|HERDERSBRUG GT2|HERDERSBRUG ST,Electrabel - Centrale Herdersbrug,gas,0.0,1049781.5099999984,0.0,0.0,464898.0,442.8521512062074
BE,marcinelle,Marcinelle Energie (Carsid),Centrale C.C.G.T. Marcinelle Energie,gas,0.0,1535163.499999999,0.0,0.0,565069.0,368.08392070290904
BE,zandvliet,Zandvliet Power,Zandvliet-Power,gas,0.0,2216659.1399999964,0.0,0.0,852041.0,384.38070365658535
BG,Manual Match,TPP_GALABOVO_G1|TPP_GALABOVO_G2,TPP AES-3C Maritza East 1,lignite,0.0,3271305.0,0.0,0.0,3804299.0,1162.93008447699
BG,Manual Match,TPP_MI2_G1|TPP_MI2_G2|TPP_MI2_G3|TPP_MI2_G4|TPP_MI2_G5|TPP_MI2_G6|TPP_MI2_G7|TPP_MI2_G8,TPP MARITSA EAST 2 EAD,lignite,0.0,3806520.0,0.0,0.0,4292307.0,1127.6197156457868
BG,Manual Match,TPP_MI3_G1|TPP_MI3_G2|TPP_MI3_G3|TPP_MI3_G4|TPP_MARITSA_3_G1,TEC ContourGlobal Maritsa East 3,lignite,0.0,4739751.0,0.0,0.0,5312942.0,1120.9327241030173
