country,fuel,total_generation,matched_generation,coverage_percentage,emissions_el,emissions_heat,emission_factor
,coal,176933258.12999967,158804786.41999963,89.75406212399008,139058937.27555957,11598233.72444045,875.6596095774019
,coal+lignite,389637400.2699997,352167283.9799996,90.38333685009829,351370548.88337916,16196317.116620895,997.7376231897064
,gas,357718554.81249964,334535745.64249957,93.51926008362874,144228184.27419007,9874728.725809943,431.1293670492211
,lignite,212704142.14000002,193362497.55999997,90.90678517803873,212311611.6078196,4598083.392180445,1097.9978759425144
,oil,4828013.512500001,3341757.1725000003,69.21598632331914,2886444.970151921,1731.029848079152,863.7506620484169
AT,coal,0.0,0.0,100.0,0.0,0.0,
AT,coal+lignite,0.0,0.0,100.0,0.0,0.0,
AT,gas,8839264.890000021,7812610.7500000065,88.38529953818352,2671299.724111389,556761.2758886104,341.9215176068239
BE,gas,15599440.730000013,14978099.160000011,96.01689842120385,9960410.0,0.0,664.998268044581
BG,coal,154805.0,0.0,0.0,0.0,0.0,
BG,coal+lignite,22596937.0,16156632.0,71.49921248176246,18058011.0,0.0,1117.6841188188232
BG,gas,79331.0,0.0,0.0,0.0,0.0,
BG,lignite,22442132.0,16156632.0,71.99241141617027,18058011.0,0.0,1117.6841188188232
CZ,coal,1084419.1000000013,1084419.1000000013,100.0,989020.8695168677,83001.13048313232,912.0282642724261
CZ,coal+lignite,23393337.08999994,23393337.08999994,99.99999999999999,23049623.352143444,672972.6478565559,985.3071950985811
CZ,gas,2180385.250000002,2180385.250000002,100.0,1043855.757597317,1489145.242402683,478.74831183953205
CZ,lignite,22308917.98999994,22308917.98999994,100.0,22060602.482626576,589971.5173734236,988.8692267601382
DE,coal,53245573.0599998,52285093.55999981,98.19613266455471,46484145.368436545,4675236.631563462,889.0515862823047
DE,coal+lignite,157152335.4599999,156376270.32999986,99.50617015793726,160129697.91067356,7485031.08932646,1024.0025393415053
DE,gas,30393743.100000013,27769410.909999996,91.36555118806668,12504782.042534221,2581958.95746578,450.30778949765715
DE,lignite,103906762.40000008,104091176.77000007,100.17748062372502,113645552.54223701,2809794.457762998,1091.788526834972
DE,oil,1404923.03,0.0,0.0,0.0,0.0,
DK,coal,3578145.9499999518,3094246.4199999506,86.47624952246547,2122570.4689121125,696462.5310878876,685.973313305844
DK,coal+lignite,3578145.9499999518,3094246.4199999506,86.47624952246547,2122570.4689121125,696462.5310878876,685.973313305844
DK,gas,186768.78999999957,0.0,0.0,0.0,0.0,
DK,oil,21108.649999999816,21108.649999999816,99.99999999999999,25868.970151920847,1731.029848079152,1225.515139619117
ES,coal,7786469.100000018,7786469.100000018,100.0,8876120.0,0.0,1139.9415943228978
ES,coal+lignite,7786469.100000018,7786469.100000018,100.0,8876120.0,0.0,1139.9415943228978
ES,gas,61544148.599999994,59831570.09999998,97.21731709844465,22603260.03964138,65337.96035861947,377.7814956529344
FI,coal,3586865.980000015,3586865.9800000144,99.99999999999999,1944691.2759720692,1117099.7240279308,542.1700411488642
FI,coal+lignite,3586865.980000015,3586865.9800000144,99.99999999999999,1944691.2759720692,1117099.7240279308,542.1700411488642
FI,gas,273674.92000000674,0.0,0.0,0.0,0.0,
FI,oil,2859.9999999999736,2859.9999999999736,100.0,2709.0,0.0,947.202797202806
FR,coal,2650510.0,1645583.0,62.085523163466654,1592537.0,0.0,967.7646159446226
FR,coal+lignite,2650510.0,1645583.0,62.085523163466654,1592537.0,0.0,967.7646159446226
FR,gas,29941463.0,23427207.0,78.24336105420099,11265066.0,0.0,480.8539916858207
FR,oil,648159.0,648159.0,100.0,488520.0,0.0,753.7039522709706
GR,coal+lignite,5587968.0,5504478.0,98.50589695574492,8124808.487137908,221747.51286209218,1476.0361449601412
