country,name,generation,emission,ignore_reason,fuel,sigma,generation_el,generation_heat,emissions_heat,emissions_el,emission_factor
AT,Manual Match,Block 07 Linz,,filtered in manual_matches.csv: ETS data seems to be missing,gas,0.0,1026654.140000015,0.0,0.0,0.0,0.0
AT,Manual Match,Lau GuD,Wien Energie - KW Leopoldau,0 generation,gas,0.0,0.0,0.0,0.0,0.0,0.0
AT,Manual Match,Sim3_DT,,"filtered in manual_matches.csv: missing gas turbine data, ETS is 'Wien Energie - KW Simmering 3'",gas,0.0,300198.25,0.0,0.0,0.0,0.0
AT,mellach,FHKW Mellach,Verbund FHKW Mellach,0 generation,gas,0.0,0.0,0.0,0.0,0.0,0.0
BE,Manual Match,INESCO WKK,,"filtered in manual_matches.csv: probably provides steam/heat to ETS industry, ETS name is 'INEOS Oxide Utilities'",gas,0.0,758304.4100000139,0.0,0.0,0.0,0.0
BE,Manual Match,Scheldelaan Exxonmobil,,filtered in manual_matches.csv: no separate ETS record for power plant,gas,0.0,621341.5699999997,0.0,0.0,0.0,0.0
BG,Manual Match,TPP_RUSE_G4,,"filtered in manual_matches.csv: probably missing some <100MW generation units, ETS name is 'Toplofikatsia RuseAD TEC Ruse Iztok'.",coal,0.0,154805.0,0.0,0.0,0.0,0.0
DE,Manual Match,Block B,Kraftwerk Herrenhausen,emission factor seems implausible,gas,0.0,198.32999999999998,0.0,0.0,2661.0,13417.032219028892
DE,Manual Match,GuD Dormagen,,"filtered in manual_matches.csv: provides steam for local industry which takes part in ETS, so heat emission calculation fails. ETS is 'Kraftwerk Dormagen'",gas,0.0,395779.02000000095,0.0,0.0,0.0,0.0
DE,Manual Match,GuD-Anlage-HKW-Merkenich,Heizkraftwerk Merkenich,0 generation,gas,0.2186832293134364,0.0,0.0,0.0,0.0,0.0
DE,Manual Match,GuD-Block,,"filtered in manual_matches.csv: provides heat for local industry which takes part in ETS, so heat emission calculation fails. ETS is 'Gemeinschaftskraftwerk Burghausen'",gas,0.0,183025.10000000364,0.0,0.0,0.0,0.0
DE,Manual Match,HKW West Block 4,,"filtered in manual_matches.csv: HKW West, Frankfurt - coal blocks (2 + 3) are <100MW, so missing from ENTSO-E. ETS is id:14310-0512:1078",gas,0.0,65342.11000000004,0.0,0.0,0.0,0.0
DE,Manual Match,IKS Schwedt SE1 Block 1|IKS Schwedt SE2 Block 2,,filtered in manual_matches.csv: only combined refinery + power plant ETS data is available,oil,0.0,1373945.0,0.0,0.0,0.0,0.0
DE,Manual Match,Kraftwerk Wahlheim GT D,,"filtered in manual_matches.csv: ETS is 'Kraftwerk Walheim', apparent typo in generation name. Coal blocks are missing from Entso-E data, this is just the oil-fired gas turbine.",oil,0.0,30978.030000000013,0.0,0.0,0.0,0.0
DE,Manual Match,Küstenkraftwerk,Gasmotorenheizkraftwerk,emission factor seems implausible,gas,0.0,601505.1500000341,798067.7616881984,101788.3743189033,175355.6256810967,291.52805371838747
DE,Manual Match,Sued GuD1 GT2|Sued GuD1 GT3|Sued GuD2 DT60|Sued GuD2 GT61|Sued GuD2 GT62,Heizkraftwerk Süd GuD,emission factor seems implausible,gas,0.0,1062326.9600000037,1493349.311825784,192725.17132808742,313369.82867191255,294.98435083668727
DE,tiefstack,HKW Tiefstack Block 2|HKW Tiefstack GuD,Heizkraftwerk Tiefstack,uses mixed fuels,,0.0,1160192.5,0.0,0.0,0.0,0.0
DK,Manual Match,Silkeborgvaerket,Silkeborg Varme A/S - Kraftvarmeværket,emission factor seems implausible,gas,0.0,186768.7899999998,326664.4513989718,38387.04652449826,50165.95347550174,268.5992315713016
DK,asnaesvaerket,Asnaesvaerket 2|Asnaesvaerket 5,Asnæsværket,0 generation,coal,0.5086467705485999,0.0,0.0,0.0,0.0,0.0
DK,studstrupvaerket,Studstrupvaerket 3|Studstrupvaerket 4,"DONG Energy Generation A/S, Studstrupværket",uses mixed fuels,,0.0,1829458.6000000322,0.0,0.0,0.0,0.0
ES,Manual Match,P.NUEVO 3,C.T. - Puente Nuevo,0 generation,coal,0.0,0.0,0.0,0.0,0.0,0.0
ES,Manual Match,PVENT1|PdV2,"Naturgy Ciclos Combinados Plana del VENT|Alpig Energia España, S.A.U.",emission factor seems implausible,gas,0.0,1712578.5000000056,0.0,0.0,422463.0,246.68241484988783
ES,Manual Match,TAPOWER,,"filtered in manual_matches.csv: ETS is 'Tarragona Power, S.L. – CCC Tarragona Power', but seems to provide heat to BASF chemical plant, so heat emissions calculation fails",gas,0.0,638371.0999999995,0.0,0.0,0.0,0.0
FI,Manual Match,Kristiina B1|Kristiina B2,Kristiinan voimalaitos,0 generation,coal,0.0,0.0,0.0,0.0,0.0,0.0
FI,Manual Match,Kymijärvi B1,Kymijärven voimalaitos,0 generation,coal,0.024782211949189246,0.0,0.0,0.0,0.0,0.0
FI,Manual Match,Suomenoja 2 GT,,filtered in manual_matches.csv: missing two <100MW generation units,gas,0.0,99851.96000000123,0.0,0.0,0.0,0.0
FI,Manual Match,Tahkoluoto B1,Tahkoluodon voimalaitos,0 generation,coal,0.0,0.0,0.0,0.0,0.0,0.0
FI,Manual Match,Vuosaari VuB4|Vuosaari VuB5|Vuosaari VuB6,Vuosaaren A-voimalaitos|Vuosaaren B-voimalaitos,emission factor seems implausible,gas,0.0,173822.96000000607,2306002.8347422285,111434.53782668825,19199.462173311753,110.45412052188664
