freq,unit,indic_nrg,geo\TIME_PERIOD	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,CDD,AT	1.08 	1.36 	4.30 	1.74 	15.24 	3.63 	3.70 	5.95 	3.87 	12.36 	3.46 	4.32 	6.41 	37.09 	7.99 	34.02 	6.91 	1.62 	2.23 	17.29 	5.25 	18.43 	13.41 	15.80 	45.78 	4.94 	10.80 	28.77 	25.74 	7.30 	9.94 	25.27 	17.63 	31.63 	46.63 	8.97 	67.53 	12.46 	36.05 	32.69 	40.16 	10.01 	24.65 	29.40 	37.12 
A,NR,CDD,BE	0.07 	1.37 	3.57 	4.20 	16.29 	3.47 	0.31 	2.07 	3.15 	0.13 	9.60 	16.90 	5.91 	9.70 	0.39 	40.50 	36.21 	7.74 	14.44 	8.06 	0.86 	5.66 	14.51 	13.00 	44.24 	7.96 	12.73 	42.57 	2.64 	1.44 	7.66 	22.07 	8.51 	13.29 	16.75 	8.20 	30.08 	25.37 	16.76 	35.78 	39.72 	52.55 	4.18 	27.50 	12.03 
A,NR,CDD,BG	46.58 	54.14 	60.25 	38.62 	39.42 	31.65 	75.58 	70.43 	133.66 	145.84 	56.15 	77.91 	62.87 	116.39 	125.19 	149.42 	55.38 	111.75 	59.58 	177.27 	143.12 	216.71 	203.57 	129.26 	162.73 	57.72 	61.45 	128.54 	247.56 	172.96 	117.02 	180.30 	128.56 	274.81 	134.49 	102.89 	198.00 	185.14 	208.93 	127.77 	163.85 	165.92 	217.20 	201.65 	248.43 
A,NR,CDD,CY	363.15 	335.10 	399.74 	366.52 	308.86 	268.03 	365.50 	352.31 	380.12 	476.29 	334.03 	353.09 	326.65 	322.91 	423.35 	528.52 	616.78 	611.99 	553.94 	751.93 	707.36 	754.52 	695.26 	681.16 	722.27 	632.80 	593.35 	663.87 	725.15 	737.13 	718.27 	745.53 	672.18 	774.72 	687.32 	634.15 	678.65 	743.13 	711.38 	812.18 	754.00 	802.51 	732.46 	698.12 	780.47 
A,NR,CDD,CZ	0.52 	0.17 	1.04 	1.96 	11.26 	5.10 	2.77 	3.86 	3.07 	9.23 	4.76 	2.47 	5.72 	33.82 	3.94 	48.64 	6.80 	0.87 	2.91 	19.71 	5.82 	16.53 	6.27 	9.12 	38.23 	2.97 	12.40 	31.30 	21.75 	3.22 	4.62 	26.89 	13.34 	23.96 	44.85 	9.52 	97.23 	10.52 	22.51 	45.88 	40.21 	6.06 	10.76 	26.63 	31.63 
A,NR,CDD,DE	2.03 	1.49 	1.06 	7.35 	19.15 	7.26 	2.17 	7.00 	3.24 	3.60 	7.48 	8.26 	11.91 	24.96 	0.49 	50.28 	16.21 	3.29 	7.80 	13.69 	5.22 	7.21 	12.09 	13.60 	51.71 	5.42 	10.76 	36.30 	10.12 	9.71 	4.46 	32.30 	8.68 	15.95 	28.34 	10.60 	55.60 	16.00 	9.19 	52.35 	46.05 	25.41 	11.53 	33.71 	19.37 
A,NR,CDD,DK	0.00 	0.00 	0.00 	0.63 	0.03 	0.00 	0.00 	0.00 	0.00 	0.00 	0.38 	0.07 	0.09 	0.19 	0.00 	10.30 	0.04 	0.00 	1.68 	0.00 	0.10 	0.65 	0.38 	0.76 	0.13 	0.00 	0.01 	0.47 	0.00 	0.03 	0.08 	2.25 	0.00 	0.31 	0.55 	1.52 	0.10 	0.47 	0.00 	14.32 	2.19 	0.58 	0.75 	3.40 	0.05 
A,NR,CDD,EE	0.00 	0.00 	0.00 	0.00 	0.01 	0.00 	0.00 	0.01 	0.00 	3.72 	0.01 	0.00 	0.00 	1.21 	0.00 	5.13 	1.31 	0.00 	3.05 	0.73 	5.77 	0.00 	6.67 	5.48 	13.90 	0.00 	0.07 	7.48 	0.94 	0.16 	0.00 	42.99 	14.40 	6.45 	3.38 	9.23 	0.00 	1.52 	0.00 	25.65 	1.33 	1.64 	38.10 	16.45 	7.12 
A,NR,CDD,EL	168.55 	173.47 	176.37 	212.75 	122.52 	117.14 	190.56 	200.56 	254.01 	319.16 	147.65 	202.40 	175.82 	191.70 	213.22 	315.70 	216.67 	195.65 	200.66 	317.16 	288.02 	281.39 	332.57 	283.76 	355.85 	241.42 	250.74 	290.59 	387.84 	375.59 	285.95 	351.40 	321.06 	448.68 	324.21 	272.79 	331.25 	353.94 	353.74 	312.46 	373.09 	343.81 	420.52 	371.98 	387.33 
A,NR,CDD,ES	130.13 	147.80 	149.91 	149.65 	139.22 	115.75 	178.76 	146.70 	191.50 	165.83 	215.79 	205.34 	252.33 	176.14 	155.67 	232.62 	185.67 	136.11 	126.59 	207.44 	197.10 	179.83 	204.33 	148.10 	283.20 	215.18 	233.51 	256.82 	153.02 	178.91 	258.35 	246.35 	217.62 	263.33 	210.52 	178.24 	286.97 	281.51 	310.38 	239.51 	247.65 	280.24 	238.71 	383.95 	338.23 
